# AutoGraphForge survivors, ranked by touch number
# NORMALISED: restatements collapsed.
# A conjecture and its algebraic rearrangement are one
# claim, not two: `b <= r + 1` and `b - 1 <= r` differ by
# moving a constant across the relation, `t <= 3d` and
# `(1/3)t <= d` by clearing a denominator. Both normalise
# to a single canonical body. They were reported twice
# because they are generated by different partitions --
# one is a bound on t, the other a bound on d -- so no
# single generator ever sees the pair.
# 82 restatement(s) removed here; each is listed
# in the trailing section with the form that was kept.
# 6522 survivors; 2677 carry a recomputed (hypothesis-aware) touch count.
# Format:  [touch] statement    -- verdict

## Ranked by touch (2595)

[   652] ((nontrivial) ∧ (chordal)) ⇒ power_domination_number ≤ ((3 · radius) + -2)    -- trivial:decorative
[   652] ((nontrivial) ∧ (chordal)) ⇒ total_domination_number ≤ ((4 · slater) + -2)    -- trivial:decorative
[   652] ((nontrivial) ∧ (chordal)) ⇒ radius ≤ ((3 · slater) + -2)    -- trivial:decorative
[   650] ((nontrivial) ∧ (chordal)) ⇒ maximum_degree ≤ (order + -1)    -- trivial:known
[   646] (((nontrivial) ∧ (chordal)) ∧ (cograph)) ⇒ two_rainbow_domination_number ≤ (outer_connected_domination_number + 1)    -- promising:class
[   638] (((nontrivial) ∧ (K_4_free)) ∧ (subcubic)) ⇒ chromatic_number ≤ 3    -- promising:class
[   633] ((nontrivial) ∧ (eulerian)) ⇒ restrained_domination_number ≤ outer_connected_domination_number    -- promising:class
[   627] (((nontrivial) ∧ (subcubic)) ∧ (triangle_free)) ⇒ two_forcing_number ≤ power_domination_number    -- promising:class
[   626] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ positive_semidefinite_zero_forcing_number ≤ vertex_cover_number    -- trivial:known
[   623] (nontrivial) ⇒ two_rainbow_domination_number ≤ three_rainbow_domination_number    -- trivial:known
[   620] ((nontrivial) ∧ (bipartite)) ⇒ min_maximal_matching_number ≤ vertex_cover_number    -- trivial:known
[   616] ((nontrivial) ∧ (regular)) ⇒ matching_number ≤ harmonic_index    -- promising:class
[   607] (nontrivial) ⇒ clique_number ≤ (vertex_cover_number + 1)    -- promising:universal
[   602] ((nontrivial) ∧ (cograph)) ⇒ ((3/2) · total_domination_number) ≤ double_roman_domination_number    -- promising:class
[   597] ((nontrivial) ∧ (subcubic)) ⇒ (2 · power_domination_number) ≤ total_zero_forcing_number    -- trivial:known
[   597] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ ((1/3) · double_roman_domination_number) ≤ domination_number    -- trivial:known
[   597] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ ((1/3) · double_roman_domination_number) ≤ slater    -- promising:class
